Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,Electric Motor,250 kW
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,Electric Motor,190 and 230 kW
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022.0,BMW,Electric,Electric Motor,190 and 230 kW
SUV,"iX xDrive50 (20"" Wheels) ",2022.0,BMW,Electric,Electric Motor,190 and 230 kW
SUV,"iX xDrive50 (21"" Wheels) ",2022.0,BMW,Electric,Electric Motor,190 and 230 kW
SUV,"iX xDrive50 (22"" Wheels) ",2022.0,BMW,Electric,Electric Motor,190 and 230 kW
Sedan/Wagon,M340i Sedan,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M340i xDrive Sedan,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M440i Convertible,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M440i Coupe,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M440i xDrive Convertible,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M440i xDrive Coupe,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
Sedan/Wagon,M440i xDrive Gran Coupe,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X3 M40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X4 M40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X5 sDrive40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X5 xDrive40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X5 xDrive45e,2022.0,BMW,Plug-in Hybrid Electric,Spark Ignition,3.0L
SUV,X6 xDrive40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,X7 xDrive40i,2022.0,BMW,Hybrid Electric,Spark Ignition,3.0L
SUV,Escalade 2WD,2022.0,Cadillac,Biodiesel (B20),Compression Ignition,3.0L
SUV,Escalade 4WD,2022.0,Cadillac,Biodiesel (B20),Compression Ignition,3.0L
Sedan/Wagon,Bolt EUV,2022.0,Chevrolet,Electric,Electric Motor,150 kW
Sedan/Wagon,Bolt EV,2022.0,Chevrolet,Electric,Electric Motor,150 kW
SUV,Suburban 2WD,2022.0,Chevrolet,Biodiesel (B20),Compression Ignition,3.0L
SUV,Suburban 4WD,2022.0,Chevrolet,Biodiesel (B20),Compression Ignition,3.0L
SUV,Tahoe 2WD,2022.0,Chevrolet,Biodiesel (B20),Compression Ignition,3.0L
SUV,Tahoe 4WD,2022.0,Chevrolet,Biodiesel (B20),Compression Ignition,3.0L
Sedan/Wagon,SF90 Spyder,2022.0,Ferrari,Plug-in Hybrid Electric,Spark Ignition,3.9L
Sedan/Wagon,SF90 Stradale ,2022.0,Ferrari,Plug-in Hybrid Electric,Spark Ignition,3.9L
Sedan/Wagon,Escape AWD HEV,2022.0,Ford,Hybrid Electric,Spark Ignition,2.5L I4
Sedan/Wagon,Escape FWD HEV,2022.0,Ford,Hybrid Electric,Spark Ignition,2.5L I4
SUV,Escape FWD PHEV,2022.0,Ford,Plug-in Hybrid Electric,Spark Ignition,2.5L
SUV,Explorer AWD FFV,2022.0,Ford,Ethanol (E85),Spark Ignition,3.3L
SUV,Explorer HEV AWD,2022.0,Ford,Hybrid Electric,Spark Ignition,3.3L V6
SUV,Explorer HEV RWD,2022.0,Ford,Hybrid Electric,Spark Ignition,3.3L V6
SUV,Explorer Platinum HEV ,2022.0,Ford,Hybrid Electric,Spark Ignition,3.3L V6
SUV,Mustang Mach-E AWD,2022.0,Ford,Electric,Electric Motor,198 kW
SUV,Mustang Mach-E AWD California Route 1,2022.0,Ford,Electric,Electric Motor,258 kW
SUV,Mustang Mach-E AWD Extended,2022.0,Ford,Electric,Electric Motor,258 kW
SUV,Mustang Mach-E GT AWD,2022.0,Ford,Electric,Electric Motor,179 kW
SUV,Mustang Mach-E GT Performance,2022.0,Ford,Electric,Electric Motor,179 kW
SUV,Mustang Mach-E RWD,2022.0,Ford,Electric,Electric Motor,198 kW
