CodigoCombustible,NombreEstacion,Dirección,Ciudad,Estado,AccesoPublico,Latitud,Longitud,IDEstacion
ELEC,Nissan of Queens,9325 Rockaway Blvd,Ozone Park,NY,True,40.68117,-73.845621,49938
ELEC,Nissan of Queens,9325 Rockaway Blvd,Ozone Park,NY,False,40.68117,-73.845621,49939
ELEC,Town of Penfield - Library,1985 Baird Rd,Penfield,NY,True,43.137476,-77.465214,49941
LPG,Combined Energy Services,1 Musket Ct,New Hampton,NY,True,41.397445,-74.384605,50098
CNG,Waste Management - Rochester,1661 Mount Read Blvd,Rochester,NY,False,43.184356,-77.659942,50266
ELEC,ShopRite Plaza,2333 Nott St E,Niskayuna,NY,True,42.816614,-73.889657,50854
E85,Sunoco,200 Route 112,Port Jefferson Station,NY,True,40.933471,-73.05379,51049
ELEC,TRICITYRENTALS WOODLAKE 2,61 Woodlake Rd N,Albany,NY,True,42.677277,-73.84716,51095
LPG,Combined Energy Services,6525 Route 209,Kerhonkson,NY,True,41.771445,-74.313151,51126
E85,Bays Mobil,2480 Route 44,Salt Point,NY,True,41.781388,-73.75974,51184
ELEC,Fairport Village Landing,100 Fairport Village Landing,Fairport,NY,True,43.100514,-77.443475,51537
CNG,Con Edison - Eastview Service Center,315 Old Saw Mill River Rd,Valhalla,NY,True,41.08183,-73.825183,51610
ELEC,Lucas Ford,3245 Hortons Ln,Southold,NY,True,41.069942,-72.43726,52063
BD,National Grid - Watertown,21265 New York 232,Watertown,NY,False,43.92808,-75.947296,52970
BD,National Grid - Greenpoint,287 Maspeth Ave,Greenpoint,NY,False,40.718053,-73.931508,52974
BD,National Grid - Beacon North,7496 Round Pond Rd,Syracuse,NY,False,43.135479,-76.087402,52975
BD,Monroe County Regional Transportation - FEV Green Fuel Station,1574 Lakeshore Blvd,Rochester,NY,False,43.239997,-77.57094,52977
BD,National Grid - Roslyn,250 Willis Ave,Roslyn,NY,False,40.7478941,-73.6403215,52979
ELEC,Ruge's Chevrolet,3692 Route 44,Millbrook,NY,True,41.791563,-73.659717,53442
CNG,Trillium - Mirabito,90 Barlow Rd,Kirkwood,NY,True,42.102397,-75.839707,53633
E85,OK Petroleum,1992 Middle Country Rd,Centereach,NY,True,40.858097,-73.082718,53849
E85,Mike's Super Citgo,675 Sunrise Hwy,West Babylon,NY,True,40.713916,-73.343892,53851
E85,BP,594 Nepperhan Ave,Yonkers,NY,True,40.94611,-73.88224,53852
ELEC,Autosaver Ford,11125 State Route 22,Comstock,NY,False,43.456212,-73.383459,53894
ELEC,Henderson Ford,810 E Ridge Rd,Webster,NY,True,43.205714,-77.476722,53975
ELEC,Steet-Ponte Ford Lincoln Mazda,5074 Commercial Dr,Yorkville,NY,True,43.110055,-75.293478,53976
CNG,American Natural Gas,4155 Walden Ave,Lancaster,NY,True,42.922551,-78.628437,60157
LPG,Watkins Glen KOA,1710 State Route 414,Watkins Glen,NY,True,42.316373,-76.909097,60270
CNG,1 VRCNG,1 Valley Rd,Port Washington,NY,True,40.841918,-73.69519,60271
ELEC,ADELPHI UNIV STATION 01,1 South Ave,Garden City,NY,True,40.719618,-73.649987,60739
