Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Manufacturer,Category,Fuel,Fuel Configuration Name,Electric-Only Range
13097,41,347,29,ID.4 AWD Pro S,2022,100.0,90.0,95.0,,,95.0,e-motor,80 and 150 kW,Volkswagen,SUV,Electric,Dedicated,245.0
13098,41,347,29,ID.4 Pro,2022,116.0,98.0,107.0,,,107.0,e-motor,150 kW,Volkswagen,SUV,Electric,Dedicated,275.0
13099,41,347,29,ID.4 Pro S,2022,110.0,93.0,102.0,,,102.0,e-motor,150 kW,Volkswagen,SUV,Electric,Dedicated,262.0
13022,41,395,29,C40 Recharge Twin,2022,94.0,80.0,87.0,,,87.0,e-motor,150 kW,Volvo,SUV,Electric,Dedicated,226.0
12885,41,395,29,XC40 Recharge Twin,2022,92.0,79.0,85.0,,,85.0,e-motor,150 kW,Volvo,SUV,Electric,Dedicated,223.0
12847,57,395,29,XC60 T8 AWD Recharge,2022,,,57.0,24.0,27.0,57.0,SI,2.0L,Volvo,SUV,Plug-in Hybrid Electric,Hybrid Electric,19.0
13079,57,395,29,XC60 T8 AWD Recharge ext. Range,2022,,,63.0,28.0,28.0,63.0,SI,2.0L,Volvo,SUV,Plug-in Hybrid Electric,Hybrid Electric,36.0
12848,57,395,29,XC90 T8 AWD Recharge,2022,,,55.0,26.0,28.0,55.0,SI,2.0L,Volvo,SUV,Plug-in Hybrid Electric,Hybrid Electric,18.0
13080,57,395,29,XC90 T8 AWD Recharge ext. Range,2022,,,66.0,25.0,27.0,66.0,SI,2.0L,Volvo,SUV,Plug-in Hybrid Electric,Hybrid Electric,36.0
12623,41,377,29,e-tron,2021,78.0,77.0,78.0,,,78.0,e-motor,141 kW,Audi,SUV,Electric,,222.0
12622,41,377,29,e-tron Sportback,2021,76.0,78.0,77.0,,,77.0,e-motor,141 kW,Audi,SUV,Electric,,218.0
12659,57,377,29,Q5,2021,,,50.0,25.0,29.0,50.0,SI,2.0L,Audi,SUV,Plug-in Hybrid Electric,,19.0
12603,45,377,29,Q5,2021,,,,23.0,28.0,25.5,SI,2.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12703,45,377,29,Q5 Sportback,2021,,,,23.0,28.0,25.5,SI,2.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12558,45,377,29,Q7,2021,,,,18.0,23.0,20.5,SI,3.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12559,45,377,29,Q8,2021,,,,18.0,,124.5,SI,3.0L,Audi,SUV,Hybrid Electric,Hybrid Electric,
12719,57,355,29,Bentayga,2021,,,46.0,17.0,21.0,46.0,SI,3.0L,Bentley Motors,SUV,Plug-in Hybrid Electric,Hybrid Electric,18.0
12565,45,211,29,540i,2021,,,,25.0,32.0,28.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12514,45,211,29,540i xDrive,2021,,,,23.0,31.0,27.0,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12512,45,211,29,M340i,2021,,,,23.0,32.0,27.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12513,45,211,29,M340i xDrive,2021,,,,22.0,31.0,26.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12724,57,211,29,X3 xDrive30e,2021,,,60.0,21.0,27.0,60.0,SI,2.0L,BMW,SUV,Plug-in Hybrid Electric,Hybrid Electric,18.0
12515,45,211,29,X5 sDrive40i 2WD,2021,,,,21.0,26.0,23.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12516,45,211,29,X5 sDrive40i 4WD,2021,,,,21.0,25.0,23.0,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12549,57,211,29,X5 xDrive45e,2021,,,50.0,19.0,22.0,50.0,SI,3.0L,BMW,SUV,Plug-in Hybrid Electric,Hybrid Electric,31.0
12517,45,211,29,X6 sDrive40i 2WD,2021,,,,21.0,26.0,23.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12518,45,211,29,X6 sDrive40i 4WD,2021,,,,21.0,25.0,23.0,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12519,45,211,29,X7 sDrive40i 4WD,2021,,,,19.0,24.0,21.5,SI,3.0L,BMW,SUV,Hybrid Electric,Hybrid Electric,
12617,35,231,29,Escalade 2WD,2021,,,,21.0,27.0,24.0,CI,3.0L,Cadillac,SUV,Biodiesel (B20),Dedicated,
12668,35,231,29,Escalade 4WD,2021,,,,20.0,26.0,23.0,CI,3.0L,Cadillac,SUV,Biodiesel (B20),Dedicated,
12618,35,215,29,Suburban 2WD,2021,,,,21.0,27.0,24.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12669,35,215,29,Suburban 4WD,2021,,,,20.0,26.0,23.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12619,35,215,29,Tahoe 2WD,2021,,,,21.0,28.0,24.5,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12670,35,215,29,Tahoe 4WD,2021,,,,20.0,26.0,23.0,CI,3.0L,Chevrolet,SUV,Biodiesel (B20),Dedicated,
12764,57,219,29,Escape FWD PHEV,2021,,,105.0,43.0,38.0,105.0,SI,2.5L,Ford,SUV,Plug-in Hybrid Electric,Hybrid Electric,37.0
12763,11,219,29,Explorer AWD FFV,2021,11.0,15.0,13.0,16.0,23.0,13.0,SI,3.3L,Ford,SUV,Ethanol (E85),Flexible Fuel,
12604,45,219,29,Explorer HEV AWD,2021,,,,23.0,26.0,24.5,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
12639,45,219,29,Explorer HEV RWD,2021,,,,27.0,28.0,27.5,SI,3.3L V6L,Ford,SUV,Hybrid Electric,Hybrid Electric,
12620,35,213,29,Yukon 2WD,2021,,,,21.0,27.0,24.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12671,35,213,29,Yukon 4WD,2021,,,,20.0,26.0,23.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12621,35,213,29,Yukon XL 2WD,2021,,,,21.0,27.0,24.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
